Date,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TITAN.NS,WIPRO.NS
2025-04-22,-0.005331158947419147,-0.005082391688023801,-0.001402855423755819,-0.01670457171831297,-0.0014179459703500786,0.017795162224553514,0.020086165155299884,0.004741177925137747,-0.019626194814163007,0.025104943732792786,0.012150396831460537,-0.006943724335292727,-0.0009369747519439265,0.0032870941168879884,-0.003324657800752477,0.0069551016011010535,0.0014317169884303406,-0.0021699786386500013,0.00038954024763245194,-0.018197698866488678
2025-04-23,0.008638559986899648,-0.00816931776446343,0.006726487725376296,0.01574835385298869,0.07427197240103811,-0.019457018070191345,0.010409617475521655,0.00556160909946103,0.03596331670283415,-0.006362491216968182,-0.018595736678934625,0.013173318107938162,0.014635839693048953,0.010783638441493488,0.006792262230597705,-0.010942481420256885,0.023416006970880355,0.02931508944321883,0.005945031144730201,0.03956563987062626
2025-04-24,0.004595818645068147,0.00016559876085762927,-0.002362560598174673,-0.019318051099971298,-0.004590204684432125,-0.0036972794008777767,-0.041487360702144815,-0.015351787666038418,-0.0023757889498297585,-0.001858612386477405,-0.0017977388518579309,-0.00012116326152134365,-0.0010923528555248994,-8.215347458867206e-05,0.0012300068346092514,-6.146277032395797e-05,0.008406009798313562,-0.0033457171429724813,0.007507647130795953,-0.0034954884620639393
2025-04-25,-0.013398775288997262,-0.034384319782254334,-0.020529656725260834,-0.015507575440645053,-0.005371397695300824,-0.002925852300970198,0.002962843646546206,0.0014960391760391039,0.00596284446667688,-0.005245605674529522,-0.008402231834353605,-0.008672263523041962,-0.016616186746722744,-0.008129303253975219,-0.0009223396993648869,-0.018300190115813353,-0.009188936562066144,0.013548465825617724,-0.005157352502619994,-0.007650177162627229
2025-04-28,0.008436007369215005,0.022467073412815324,-0.0020873601100102417,0.0025282506700467734,-0.007010735017206652,0.004698049029679473,-0.005848481384279007,0.016940023915010736,0.0012827524359721614,0.0023347615953840336,0.009571157102331933,0.016729108027807683,0.0125723489078801,-0.0031123485694061503,0.05126255078316736,0.02314452813553805,0.029872611841956116,-0.001306009194142035,0.0011582882731473786,-0.001661774372067917
2025-04-29,-0.00044863174865823074,-0.0046216084813016,0.0,0.0010972018674319278,0.012635242978411499,-0.0059544907086596915,0.0013360722636935115,0.0006996196184533401,0.010337169070291738,-0.00655125271725889,-0.009299054997578163,-0.0015037936744804218,-0.0004221576921253756,-0.007718874964101036,0.022323409914870834,-0.005889936761565837,-0.019797161389492522,0.008386322745916918,0.0028158307148123136,0.0037351660866498143
2025-04-30,-0.010416896855829687,-0.0019390973547868669,-0.051739044701308766,0.022070670262670095,-0.0009565660822068202,0.008451099686594509,0.008748406183508809,-0.00196023867751094,0.00173463912177666,-0.0004695983582482209,0.0014049247362136648,0.005612815918965633,0.034529053334850436,0.0002931649541470637,0.0037793849869981054,-0.0298547765826964,0.014734514853238737,-0.00542864094049491,0.0003254472963355796,0.00041420262093774953
2025-05-02,-0.006493291046093708,-0.0013511224902603,0.026739836153644843,-0.00878075721619978,0.0031211890652679463,-0.001611654792278283,-0.010084478447202313,0.002169968940902848,0.004522836711260223,0.008652035482271225,-0.012028042415477776,-0.001827489463853182,0.012002474266612585,-0.023899361448702888,0.010478774341658814,0.010155572357879734,-0.004211312868074704,-0.0065944111177941075,-0.011217454203367614,0.0007450137787642129
2025-05-05,0.011099991635236102,-0.008656691891710167,0.007134704741133035,0.009584930725812374,-0.0024196443597013237,0.007722852253770184,0.012855981487144884,-0.0004895538008552299,0.0011274993044127696,0.01719706794826689,-0.04538343147278241,-0.0014103083043247504,0.004263378867012289,-0.001545063876868493,0.00806708462142201,-0.008445250994498459,0.006555311962780903,0.006768232105357356,-0.006062629240292032,0.007789938285007908
2025-05-06,-0.007785971191757705,-0.010108773679055532,-0.015172786470817113,0.018582965869766394,0.006671605900108796,-0.0026367462407349395,0.014036951176357022,0.0015378895286455342,0.0019203884331189013,-0.003209202678950176,-0.005241857923069578,0.0011404236333035216,0.00982472320663477,0.012081969057270478,-0.0072926581037692385,-0.02033190302753395,-0.00957420086975711,0.001648662725689459,-0.006796518324982819,-0.00981936697655821
2025-05-07,-0.035314357265601636,-8.605402935941022e-05,0.021255889904465877,-0.002211797919509013,-0.010056014305223336,0.007169958450146503,-0.004629017101334699,0.00265092128220567,-0.0021192714477778055,-0.010153567595945791,0.010026746307540092,-0.0037864243222120566,0.004124710391388834,-0.007710561199450883,-0.010541746178344977,0.002580314924115147,-0.02099846210861287,-0.004315606367962588,0.011931092302105439,0.011747040494665996
2025-05-08,-0.0135874295025362,0.009342095091646579,-0.017285402746972857,-0.011612968296283617,0.011068695837279492,-0.00882785366625626,-0.006729190745949872,6.96707858550522e-05,0.002053247283242092,-0.0012764663834367636,0.008413587145369486,0.000752383290103574,-0.01926136933854586,0.0009830976181845485,0.0007110359788363646,-0.009190441246735855,-0.007947048625325175,0.0011023447996583126,0.00906361147638455,-0.010172799007948376
2025-05-09,-0.0013037574496742822,-0.01816425550012628,-0.020560249858800055,-0.014234910630188802,-0.007174389287300788,-0.020324443025324,-0.00938616732335076,-0.03300113822667964,-0.002517489320202667,-0.016507968712592594,-0.004507005949388046,0.03546573919685016,-0.011525162742395467,-0.00655803931315225,-0.021407371543110173,0.013241006000477428,-0.012756415022861237,-0.0024965967817239115,0.04099648596379974,0.001819704816522442
2025-05-12,0.02439976146584937,0.044100455648366184,0.04275968985248181,0.012045781654356968,0.06230993262341578,0.03509677419872476,0.021038307607746953,0.042016408014704576,0.0761574416342591,0.027823252259649926,0.019727134195805855,0.040767459039990274,0.02943991292549349,0.02480392637281126,0.042157136485493206,0.02834022916989269,-0.034162525170520354,0.05102574759409536,0.014873305237656575,0.06118600331644067
2025-05-13,-0.013586950649147432,-0.007844481726348534,0.002602410763634989,-0.027200096884610482,-0.03082407702291493,-0.01783638035990265,-0.009488676482250942,-0.01243460155293038,-0.03649295637960784,-0.017605368889082745,-0.01380109586654809,-0.005647069842914239,-0.010678262255531262,-0.005721568202010626,-0.014585511388421943,0.00012464568703031485,0.00815088647342085,-0.02954492324904184,8.418975799120858e-05,-0.02244366553214633
2025-05-14,-0.018364343138329912,0.0015905053751052148,0.0043039206932101014,0.007442333429542616,0.011113562523458236,-0.0062611110897898125,-0.004033577856568605,-0.0030803889493899827,0.015058854153283244,0.0028005695861529354,-0.0110266969126424,0.0017087476402457167,0.014949413350434239,8.433702807651948e-05,0.006126660291879861,-0.001310449458561433,0.004811869430033035,0.009541801368090219,0.00682446998382997,0.005430944117742363
2025-05-15,0.020641622848643414,0.011311766959583167,0.011768382607759156,0.017831513550328273,0.03497973605674277,0.012069669340587097,0.0019974441773656553,0.017101637545861224,0.01285344398814438,0.008239008612725706,0.006668543017310237,0.012543051851986769,0.02201322083921358,0.011618100874151467,0.020705207596082405,0.008766219411417496,0.01850244433314061,0.008753440365967634,0.013620682106377322,0.014249298373299522
